Token.ID	Context	Variant	Recipient.lemma	Theme.lemma	Recipient.type	Theme.type	Recipient.cluster_number	Recipient.silhouette	cluster_combo	Recipient.medoid_label	Theme.cluster_number	Theme.silhouette	Theme.medoid_label	Recipient.medoid	Theme.medoid	tree_cluster
dat-2636	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	ditransitive	them/pp	money/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
dat-2640	B: Uh-huh. //A: -- yeah, and I've done some of those. Yeah, I like, I like things that are, there's a few of the ones I can take of his. I like it when they actually are giving you information in a novel format, I guess would be th-, //B: Try Colesmith, try and find his, uh, SPANISH BIT SAGA, it's called THE TRAIL OF THE SPANISH BIT is the first,	ditransitive	you/pp	information/nn	P	N	7	0.17207849	everybody/pn-these/dd	everybody/pn	14	0.21458472	these/dd	everybody/pn	these/dd	5
dat-2641	B: Oh well, can you do it (( ))? //A: Yeah, [laughter] isn't that funny. I guess I do have one thing. A friend of mine gave me a clock kit -- //B: Ooh. //A: -- and, I, I needlepointed the face, and I, uh, kept that because she gave me that. So, //B: That, that would be definitely something you'd want to keep.	ditransitive	me/pp	that/dd	P	D	7	0.44839486	everybody/pn-one/pn	everybody/pn	5	0.4443067	one/pn	everybody/pn	one/pn	8
dat-2642	B: There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and no-, I'm not saying just give them money but, I mean, because they have to be taught to be,	ditransitive	them/pp	money/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
dat-2643	B: I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, [breathing], what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, ((I mean)), because if they're alcoholics they'll just go out and spend,	ditransitive	people/nn	money/nn	N	N	5	0.6054048	people/nn-discount/nn	people/nn	0	0.5298119	discount/nn	people/nn	discount/nn	3
dat-2644	B: # ((Sure)). # //A: # and # so, you know, we'll give him fifteen which will teach him a lesson but it's not just, you know, horrible, //B: # ((Yeah)). #	ditransitive	him/pp	fifteen/mc	P	N	7	0.46108976	everybody/pn-half/nn	everybody/pn	3	0.6974595	half/nn	everybody/pn	half/nn	5
dat-2645	A: #you# wouldn't have to have a keyboard, //B: #[Throat_clearing].# //A: #you'll# be able to just give it commands and I'm sure they have some of that now, and not, not, in computers but a lot of potential, of course for handicapped people,	ditransitive	it/pp	command/nn	P	N	14	0.4634987	it/pp-power/nn	it/pp	12	-0.1091974	power/nn	it/pp	other	6
dat-2646	A: # I # don't understand why we're, I understand that we support Israel and all the other countries but why do we have to give them cash rather than just selling them military things at a discount or something. I don't get the id-, the idea,	ditransitive	them/pp	cash/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.47053894	discount/nn	everybody/pn	discount/nn	5
dat-2647	A: I wouldn't turn you down either. //B: Right. //A: I'll give you one [laughter]. //B: Yeah. //A: Huh. No, I haven't attempted that. I'm satisfied with what we have right	ditransitive	you/pp	one/pn	P	I	7	0.17207849	everybody/pn-one/pn	everybody/pn	5	0.6876098	one/pn	everybody/pn	one/pn	8
dat-2648	B: Yeah, yeah. Yeah, I, I agree with you. They like to get out there and, but this wasn't so fun this last time for Nathan to, to get out there and he didn't realize he was touching poison ivy and it got all into his eye and it was really swollen and, uh, so they had to give him shots and everything, so. [breathing], oh, well, maybe next time he'll stay away from those particular [laughter], //A: [Laughter] Yeah, yes.	ditransitive	him/pp	shots/nn	P	N	7	0.46108976	everybody/pn-live/nn	everybody/pn	10	0.14955294	live/nn	everybody/pn	live/nn	5
dat-2649	A: Yeah, well there's, there's another point to that too. They said the, that um, that he was horrible at, uh, at batting with, with men on base. Now having somebody get up and hit a solo home run does you, you know, gives you run, obviously. //B: Yes.	ditransitive	you/pp	run/nn	P	N	7	0.17207849	everybody/pn-book/nn	everybody/pn	13	0.3536932	book/nn	everybody/pn	book/nn	5
dat-2650	B: that is good. //A: Well, it is enjoyable, I'll give you that, it's funny. //B: And, uh, I don't get to watch T V that often, or sit back and enjoy it. I have a nine month old. So that occupies a lot of the time [laughter].	ditransitive	you/pp	that/dd	P	D	7	0.17207849	everybody/pn-one/pn	everybody/pn	5	0.4443067	one/pn	everybody/pn	one/pn	8
dat-2651	your aluminum cans, and then you get money for your aluminum cans. //B: But they don't give you for the other. //A: No. But now they're going to start giving us money for the other ones, too. Before, they didn't. But I know they're going [talking] {in background} to start now. //B: Uh-huh. Well they're certain places, you know, where down there you can	ditransitive	us/pp	money/nn	P	N	7	0.17421363	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
dat-2652	A: He again had a, had a stroke, and he was partially paralyzed. //B: Uh-huh. //A: But he was young enough where they gave him therapy, and he was beginning to move up, but he could talk [laughter] and tell us things, Oh, you want to see what they're doing here, and do you want to see this, but don't --	ditransitive	him/pp	therapy/nn	P	N	7	0.46108976	everybody/pn-drug/nn	everybody/pn	1	0.62507915	drug/nn	everybody/pn	drug/nn	5
dat-2653	A: [Laughter]. //B: Well, the dogs don't use litter. But kitty litter is excellent for, uh, getting under the wheels of cars and what have you and giving you traction. //	ditransitive	you/pp	traction/nn	P	N	7	0.17207849	everybody/pn-power/nn	everybody/pn	12	0.3325066	power/nn	everybody/pn	power/nn	5
dat-2654	A: Well, that's the idea. They figure that, //B: Yeah. //A: if they give you card, //B: Uh-huh. //A: at no charge for a whole year that you will use it and,	ditransitive	you/pp	card/nn	P	N	7	0.17207849	everybody/pn-discount/nn	everybody/pn	0	0.28242457	discount/nn	everybody/pn	discount/nn	5
dat-2655	B: And, and, and it was posted, you know, above her bed not to give her penicillin and, but, //A: # And they gave it to her anyway. # //B: # but, but they gave it to her # anyway and jus-, she just about died. //A: We had, my grandfather had Alz-, Alzheimer's disease, //B: # Um. #	ditransitive	her/pp	penicillin/nn	P	N	7	0.21008055	everybody/pn-drug/nn	everybody/pn	1	0.5742645	drug/nn	everybody/pn	drug/nn	5
dat-2656	B: it's not exciting at all it doesn't, //A: Yeah. //B: it doesn't give you relaxation, you can't dance to it, you can't do anything to it [laughter]. //A: Right. But,	ditransitive	you/pp	relaxation/nn	P	N	7	0.17207849	everybody/pn-drug/nn	everybody/pn	1	0.50417686	drug/nn	everybody/pn	drug/nn	5
dat-2657	Turkey and, they sort of just meander around but they, they hold true that Northern Iraq is theirs. And, uh, I don't know, it, it was certainly foreseeable right after the war, I mean it should have been obviously, if it was to me it should have been obviously to the people in Washington there should have been some plans to try to give them some aid, I mean we helped the Afghanistan's, there's know reason why we shouldn't help the Kurds, it didn't have to involve troops, could have just given them, uh, you know, supplies. //A: Yeah. But he's just shooting them and they just killing them off.	ditransitive	them/pp	supplies/nn	P	N	7	0.2620939	everybody/pn-referrals/nn	everybody/pn	2	0.31651387	referrals/nn	everybody/pn	referrals/nn	5
dat-2658	B: Yeah, I mean don't get me wrong. For something, something that was major I, I wouldn't have any problems with them. It's the daily, uh, go in with the, with the flu or something like that. And, and, the, the treatment is terrible, I mean first you wait for hours and hours and hours and then the guy says you have a temperature, well I knew that. I am going to give you Sudafed. You know I've been taking Sudafed for two weeks, it doesn't do any good.	ditransitive	you/pp	sudafed/np	P	N	7	0.17207849	everybody/pn-referrals/nn	everybody/pn	2	-0.034086313	referrals/nn	everybody/pn	other	5
dat-2659	B: But, I mean this is one area where I'd like to see Social Security or the government step in and take people over a certain age or with handicaps or something. And take their Social Security away from them, I mean give them, you know, money at a certain point. And putting them in homes to where they can get something fed back to them. In other words, people talk to and become still human beings.	ditransitive	them/pp	money/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
dat-2660	B: That's quite a lot of money, isn't it. //A: Yeah, really is. //B: And it gives other, I imagine, other, uh, potential crime people, uh, ideas, too. //A: But I've seen, they've stepped up security quite a bit.	ditransitive	people/nn	ideas/nn	N	N	5	0.6054048	people/nn-live/nn	people/nn	10	0.28133678	live/nn	people/nn	live/nn	3
dat-2662	: Uh-huh. Because you know, they don't give you a whole bunch of them pills. //B: Yeah. //A: Because they gave my husband some when his mother passed, but that was for, like, to calm him down. //B: Right. //A: You know, but see, now they're gone. //	ditransitive	husband/nn	some/pn	N	I	3	0.025509803	wife/nn-half/nn	wife/nn	3	0.47523707	half/nn	wife/nn	half/nn	6
dat-2663	A: You know. //B: I don't know how you do that. //A: I guess if you gave the, gave them jobs, that's another problem with the United States, there's no jobs any more. //B: Yeah. //	ditransitive	them/pp	job/nn	P	N	7	0.2620939	everybody/pn-service/nn	everybody/pn	4	0.20952068	service/nn	everybody/pn	service/nn	5
dat-2664	B: #Yeah.# //A: #still# understand what was going on. //B: Yeah, that, television, it gives you everything. //A: Uh-huh. //B: So, it's ber-, basically mindless. I mean, all your, y-, the only really	ditransitive	you/pp	everything/pn	P	I	7	0.17207849	everybody/pn-one/pn	everybody/pn	5	0.57553005	one/pn	everybody/pn	one/pn	8
dat-2665	A:  Of course, I'm not a carpenter or anything like that. They could probably come in and say, gee, this is not straight and this is under something but, //B:  But I mean it doesn't give you trouble? //A:  No. //B:  Uh-huh.	ditransitive	you/pp	trouble/nn	P	N	7	0.17207849	everybody/pn-these/dd	everybody/pn	14	-0.11861191	these/dd	everybody/pn	other	5
dat-2666	A: But, uh, you know, they just [noise] folded it up and, uh, uh, told him to, they took the top management and gave them jobs -- //B: Uh-huh. //A: -- with the, with the corporate, uh, at the corporate front office and	ditransitive	them/pp	job/nn	P	N	7	0.2620939	everybody/pn-service/nn	everybody/pn	4	0.20952068	service/nn	everybody/pn	service/nn	5
dat-2667	A: It, it astound, you realize that the Kuwaiti government gives every Kuwaiti man, woman, and child money. //B: Uh, no. I wasn't, I didn't, wasn't aware of that, no.	ditransitive	man/nn	money/nn	N	N	11	0.23507506	person/nn-discount/nn	person/nn	0	0.5298119	discount/nn	person/nn	discount/nn	3
dat-2668	B: -- then they really need water. //A: [Laughter]. //B: I mean, you know, I've used up all my water give me some, that type of thing, //A: Yeah.	ditransitive	me/pp	some/pn	P	I	7	0.44839486	everybody/pn-half/nn	everybody/pn	3	0.47523707	half/nn	everybody/pn	half/nn	5
dat-2669	A: Well, such as things for learning gives the child stimulation I think is important. //B: Right.	ditransitive	child/nn	stimulation/nn	N	N	9	0.33494166	boy/nn-drug/nn	boy/nn	1	0.5994301	drug/nn	boy/nn	drug/nn	3
dat-2670	B: So, but, you know, you know then you, you figured on down the line it did give people jobs. I use cloth diapers for a lot of stuff just besides, you know, if my kids have got a cold, you know, I put them in bed with cloth diapers [laughter] you know,	ditransitive	people/nn	job/nn	N	N	5	0.6054048	people/nn-service/nn	people/nn	4	0.20952068	service/nn	people/nn	service/nn	3
dat-2671	B: Oh, yes, I agree [laughter]. //A: If they are trying on purpose to scare me then I don't want to go [noise]. //B: I'm certainly not going to give them money to do it [laughter]. //A: Absolutely not. Oh, I'll tell you one, though, that I heard such good things about. Um, [lipsmack] oh, let's see, what was it? Um, it's a David Lynch movie and it's about Sailor and Lula, they're the two charac-, main	ditransitive	them/pp	money/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
dat-2672	B: You still can see well. And, uh, we usually sit there unless somebody gives [laughter] us tickets, you know, box seats -- //A: Uh-huh. //B: -- or something, then we usually sit out there.	ditransitive	us/pp	ticket/nn	P	N	7	0.17421363	everybody/pn-discount/nn	everybody/pn	0	0.2761111	discount/nn	everybody/pn	discount/nn	5
dat-2673	B: Exactly -- //A: -- I'd feel better. //B: -- it does, it gives you energy. //A: But my dragginess is my excuse for not exercising. //B: Yeah.	ditransitive	you/pp	energy/nn	P	N	7	0.17207849	everybody/pn-service/nn	everybody/pn	4	0.19094609	service/nn	everybody/pn	service/nn	5
dat-2674	B: Right. //A: if you pay for everything by cash, uh, there is a lot of things that a lot of people who will not give you credit when you need something like a house or, //B: That's true, yeah.	ditransitive	you/pp	credit/nn	P	N	7	0.17207849	everybody/pn-discount/nn	everybody/pn	0	0.5281171	discount/nn	everybody/pn	discount/nn	5
dat-2675	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	ditransitive	me/pp	seventies/mc	P	N	7	0.44839486	everybody/pn-half/nn	everybody/pn	3	0.18796833	half/nn	everybody/pn	half/nn	5
dat-2676	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	ditransitive	me/pp	eighties/mc	P	N	7	0.44839486	everybody/pn-referrals/nn	everybody/pn	2	-0.2058912	referrals/nn	everybody/pn	other	5
dat-2677	A: Well, yeah, it, it, it, it can be cost prohibitive real quick, you know, I, I want to be able to at least I want to pay my, pay the tuition, you know, give her transportation if it's necessary, //B: # Uh-huh. #	ditransitive	her/pp	transportation/nn	P	N	7	0.21008055	everybody/pn-service/nn	everybody/pn	4	0.4302892	service/nn	everybody/pn	service/nn	5
dat-2678	B: He gives me kisses, he talks now -- //A: [Laughter] That's neat. //B: -- and it's just hysterical. I'm the only one that pays attention to him.	ditransitive	me/pp	kiss/nn	P	N	7	0.44839486	everybody/pn-these/dd	everybody/pn	14	-0.044168785	these/dd	everybody/pn	other	5
dat-2679	towards more technology and getting the kids computer literate earlier. You know, my kindergartners were on the, were on the computers, and I think that with the way the world is today that's got to be done. And I think that, uh, the schools now are starting to teach thinking strategies more than just giving them, you know, skills. You know, //A: #Right.# //B: #you don't# just add one plus one you figure out why you're adding it and	ditransitive	them/pp	skills/nn	P	N	7	0.2620939	everybody/pn-referrals/nn	everybody/pn	2	0.25661004	referrals/nn	everybody/pn	referrals/nn	5
dat-2680	B: No, you just put it in the one bin and, and I guess they do the sorting. But, um, they'll do the aluminum cans too but we don't give them those [laughter]. //A: Right. #Right.#	ditransitive	them/pp	those/dd	P	D	7	0.2620939	everybody/pn-these/dd	everybody/pn	14	0.18728164	these/dd	everybody/pn	these/dd	5
dat-2681	B: -- a neighbor of ours had done this, and it looked, uh, looked nice, so, we figured we'd try it ourselves. //A: So the neighbor was able to give you guidance. //B: Um, a little bit. She didn't tell us, she did say it was going to be hard work [laughter].	ditransitive	you/pp	guidance/nn	P	N	7	0.17207849	everybody/pn-service/nn	everybody/pn	4	0.13093694	service/nn	everybody/pn	service/nn	5
dat-2682	B: Something to belong to, give them identity, give them importance -- //A: Yeah. //B: -- give them a certain security.	ditransitive	them/pp	importance/nn	P	N	7	0.2620939	everybody/pn-power/nn	everybody/pn	12	0.3898099	power/nn	everybody/pn	power/nn	5
dat-2683	A:  Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs -- //B:  Yeah. //A:  -- but I think it also cost, um, quite a bit as far as because	ditransitive	people/nn	job/nn	N	N	5	0.6054048	people/nn-service/nn	people/nn	4	0.20952068	service/nn	people/nn	service/nn	3
dat-2684	B: It is. //A: Yeah, it's, (( )) that's, I thought about it not too long ago, that, uh, [breathing] I had seen an issue and I thought gosh, I ought to give my parents that for Christmas, but I, of course, now it's Christmas, I haven't done it, so maybe next year. //B: Yeah [laughter].	ditransitive	parents/nn	that/dd	N	D	2	0.5942958	kids/nn-one/pn	kids/nn	5	0.4443067	one/pn	kids/nn	one/pn	8
dat-2685	B: That's a pretty good way to do it, //A: -- anything on his American Express is his and it's his expense. Now, he gave me one -- //B: Uh-huh.	ditransitive	me/pp	one/pn	P	I	7	0.44839486	everybody/pn-one/pn	everybody/pn	5	0.6876098	one/pn	everybody/pn	one/pn	8
dat-2686	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	ditransitive	you/pp	aids/nn	P	N	7	0.17207849	everybody/pn-drug/nn	everybody/pn	1	0.6262254	drug/nn	everybody/pn	drug/nn	5
dat-2687	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	ditransitive	you/pp	aids/nn	P	N	7	0.17207849	everybody/pn-drug/nn	everybody/pn	1	0.6262254	drug/nn	everybody/pn	drug/nn	5
dat-2688	B: Uh-huh. That's kind of scary. I, I wish there was some way that we could change the news media so they didn't feature these way out stories. Maybe it wouldn't give other people ideas. //A: Well, uh, I know one thin-, I, I think Texas has the death penalty, right? //B: Yes, we do.	ditransitive	people/nn	ideas/nn	N	N	5	0.6054048	people/nn-live/nn	people/nn	10	0.28133678	live/nn	people/nn	live/nn	3
dat-2689	A: I've tried to do is get this outfit to -- //B: Uh, he's, uh, up in, //A: -- give me one [laughter]. //B: Huh?	ditransitive	me/pp	one/pn	P	I	7	0.44839486	everybody/pn-one/pn	everybody/pn	5	0.6876098	one/pn	everybody/pn	one/pn	8
dat-2690	A: Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care. //B: I, I, give me cyanide. I mean, [laughter] #is it (( )),# //A: #Yeah, right.# [laughter] I'll take anything -- //B: Uh-huh.	ditransitive	me/pp	cyanide/nn	P	N	7	0.44839486	everybody/pn-plant/nn	everybody/pn	6	0.43879968	plant/nn	everybody/pn	plant/nn	5
dat-2691	A: -- and I think that, uh, she was trying to, uh, give me something to kind of make me get a message of some kind [laughter].	ditransitive	me/pp	something/pn	P	I	7	0.44839486	everybody/pn-one/pn	everybody/pn	5	0.67446834	one/pn	everybody/pn	one/pn	8
dat-2693	A:  -- and we went down there and these kids wanted anything that was made that was American. Lee jeans, your coats, your shoes, anything that you brought with you and they'd give you things because -- //B:  Uh-huh.	ditransitive	you/pp	things/nn	P	N	7	0.17207849	everybody/pn-live/nn	everybody/pn	10	0.475586	live/nn	everybody/pn	live/nn	5
dat-2694	B:  Yeah, give -- //A:  Because you couldn't pick up #on it if you just# ... //B:  -- #give me comedies.# I'll, I'll watch those. //A:  Yeah {faint}. //B:  I like those.	ditransitive	me/pp	comedies/nn	P	N	7	0.44839486	everybody/pn-live/nn	everybody/pn	10	0.370104	live/nn	everybody/pn	live/nn	5
dat-2695	B: -- and I thoroughly enjoyed that, and now it's like, give me computer -- //A: Huh. //B: -- and consequently I am the person that everybody comes to, at work.	ditransitive	me/pp	computer/nn	P	N	7	0.44839486	everybody/pn-these/dd	everybody/pn	14	0.29452956	these/dd	everybody/pn	these/dd	5
dat-2696	A: [Laughter] Oh, boy. //B: It's fun, I like that, and plus there's a guy at work that he and I trade different games, like he's like, Well, what do you have, and I'll give you this -- //A: Uh-huh.	ditransitive	you/pp	this/dd	P	D	7	0.17207849	everybody/pn-book/nn	everybody/pn	13	0.18041807	book/nn	everybody/pn	book/nn	5
dat-2697	the prostate and there's only one test that just recently got developed, uh, a blood in-, antigen, uh, antibody test for the antigen in the blood and that's fairly recent. And yet men have been dying from prostate cancer for years. //B:  They've not really given it attention either, yeah.	ditransitive	it/pp	attention/nn	P	N	14	0.4634987	it/pp-power/nn	it/pp	12	0.3528383	power/nn	it/pp	power/nn	6
dat-2698	A: -- you know, subtitles. //B: I mean, for some people, that's just, you know, that's out of the question, you know. You give it subtitles, they won't watch,	ditransitive	it/pp	subtitle/nn	P	N	14	0.4634987	it/pp-book/nn	it/pp	13	0.50066227	book/nn	it/pp	book/nn	6
dat-2699	B: -- uh, you know, I think they, they ought to make more of an emphasis on, on convenience as opposed to, uh, to, uh, you know, trying to give people money for it. //A: Yeah, I know. I know if they did something like that at work, if they separated paper. Where I work they don't even separate the paper.	ditransitive	people/nn	money/nn	N	N	5	0.6054048	people/nn-discount/nn	people/nn	0	0.5298119	discount/nn	people/nn	discount/nn	3
dat-2700	A: And they're covering my, they're paying me, uh, uh, a little bit a month to go to school. And then they're, they're paying, they're also paying my ins-, uh, giving me insurance, full insurance. #Uh,# //B: #Uh-huh.# //A: so, #that makes, yeah,#	ditransitive	me/pp	insurance/nn	P	N	7	0.44839486	everybody/pn-discount/nn	everybody/pn	0	0.32721913	discount/nn	everybody/pn	discount/nn	5
dat-2701	B: #as opposed# to being terribly sympathetic to the government. Although the yo-, you've got to give them credit. They do a great job of showing both sides of the story, and, uh, they aren't afraid to poke fun at themselves either.	ditransitive	them/pp	credit/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5281171	discount/nn	everybody/pn	discount/nn	5
dat-2702	B: #Uh-huh.# //A: -- keep giving them chances. //B: Yeah. //@@A: Uh, let's see, so the other question that they wanted was whether the	ditransitive	them/pp	chance/nn	P	N	7	0.2620939	everybody/pn-power/nn	everybody/pn	12	0.046333168	power/nn	everybody/pn	power/nn	5
dat-2703	A: Uh, I do have my radio going most of the day though, so about every hour it breaks in and gives me news too, you know. //B: Okay. #Do you# --	ditransitive	me/pp	news/nn	P	N	7	0.44839486	everybody/pn-book/nn	everybody/pn	13	0.56121415	book/nn	everybody/pn	book/nn	5
dat-2704	A: Yeah. //B: I'll give it that. It is fun to play. #If you don't value your# -- //A: #You've played it then?# //B: -- very much. But, you know, I don't think rugby will ever be professional	ditransitive	it/pp	that/dd	P	D	14	0.4634987	it/pp-one/pn	it/pp	5	0.4443067	one/pn	it/pp	one/pn	9
dat-2705	B: Because they just give you ton, now I've got a big basket full in the refrigerator. //A: That's right, that's right. Well, now I've gotten to where I say, don't put any of that in [laughter]. Cause it just leaves me with having to dispose	ditransitive	you/pp	ton/nn	P	N	7	0.17207849	everybody/pn-plant/nn	everybody/pn	6	0.46817347	plant/nn	everybody/pn	plant/nn	5
dat-2706	A:  We have a Golden Retriever. //B:  Oh, we, that's what we had. //A:  Oh, really. //B:  Yeah, we loved them.  //A:  Yeah, she's a mess #[laughter].# //B:  #Yeah,# they, uh, we had, as I say, two, and then, uh, gave, uh, the kids' grandparents one, and they got another one, and so, I mean, there've been four sort of in the family around.	ditransitive	grandparents/nn	one/pn	N	I	2	0.32802674	kids/nn-one/pn	kids/nn	5	0.6876098	one/pn	kids/nn	one/pn	8
