Token.ID	Context	Variant	Recipient.lemma	Theme.lemma	Recipient.type	Theme.type	Recipient.cluster_number	cluster_combo	Recipient.medoid_label	Recipient.silhouette	Theme.cluster_number	Theme.medoid_label	Theme.silhouette	Recipient.medoid	Theme.medoid
dat-2636	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
dat-2640	B: Uh-huh. //A: -- yeah, and I've done some of those. Yeah, I like, I like things that are, there's a few of the ones I can take of his. I like it when they actually are giving you information in a novel format, I guess would be th-, //B: Try Colesmith, try and find his, uh, SPANISH BIT SAGA, it's called THE TRAIL OF THE SPANISH BIT is the first,	ditransitive	you	information	P	N	10	anything-activity	anything	0.28544724	13	activity	0.20973288	anything	activity
dat-2641	B: Oh well, can you do it (( ))? //A: Yeah, [laughter] isn't that funny. I guess I do have one thing. A friend of mine gave me a clock kit -- //B: Ooh. //A: -- and, I, I needlepointed the face, and I, uh, kept that because she gave me that. So, //B: That, that would be definitely something you'd want to keep.	ditransitive	me	that	P	D	1	myself-one	myself	0.13377228	14	one	0.63361347	myself	one
dat-2642	B: There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and no-, I'm not saying just give them money but, I mean, because they have to be taught to be,	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
dat-2643	B: I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, [breathing], what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, ((I mean)), because if they're alcoholics they'll just go out and spend,	ditransitive	people	money	N	N	8	people-worth	people	0.36882615	9	worth	0.121118724	people	worth
dat-2644	B: # ((Sure)). # //A: # and # so, you know, we'll give him fifteen which will teach him a lesson but it's not just, you know, horrible, //B: # ((Yeah)). #	ditransitive	him	fifteen	P	N	1	myself-minute	myself	0.2585908	8	minute	0.4803543	myself	minute
dat-2645	A: #you# wouldn't have to have a keyboard, //B: #[Throat_clearing].# //A: #you'll# be able to just give it commands and I'm sure they have some of that now, and not, not, in computers but a lot of potential, of course for handicapped people,	ditransitive	it	command	P	N	10	anything-access	anything	0.5251231	1	access	0.2259372	anything	access
dat-2646	A: # I # don't understand why we're, I understand that we support Israel and all the other countries but why do we have to give them cash rather than just selling them military things at a discount or something. I don't get the id-, the idea,	ditransitive	them	cash	P	N	1	myself-discount	myself	0.32372108	10	discount	0.08510418	myself	discount
dat-2647	A: I wouldn't turn you down either. //B: Right. //A: I'll give you one [laughter]. //B: Yeah. //A: Huh. No, I haven't attempted that. I'm satisfied with what we have right	ditransitive	you	one	P	I	10	anything-one	anything	0.28544724	14	one	0.6461798	anything	one
dat-2648	B: Yeah, yeah. Yeah, I, I agree with you. They like to get out there and, but this wasn't so fun this last time for Nathan to, to get out there and he didn't realize he was touching poison ivy and it got all into his eye and it was really swollen and, uh, so they had to give him shots and everything, so. [breathing], oh, well, maybe next time he'll stay away from those particular [laughter], //A: [Laughter] Yeah, yes.	ditransitive	him	shots	P	N	1	myself-NA	myself	0.2585908	NA	NA	NA	myself	NA
dat-2649	A: Yeah, well there's, there's another point to that too. They said the, that um, that he was horrible at, uh, at batting with, with men on base. Now having somebody get up and hit a solo home run does you, you know, gives you run, obviously. //B: Yes.	ditransitive	you	run	P	N	10	anything-pat	anything	0.28544724	3	pat	0.010881468	anything	pat
dat-2650	B: that is good. //A: Well, it is enjoyable, I'll give you that, it's funny. //B: And, uh, I don't get to watch T V that often, or sit back and enjoy it. I have a nine month old. So that occupies a lot of the time [laughter].	ditransitive	you	that	P	D	10	anything-one	anything	0.28544724	14	one	0.63361347	anything	one
dat-2651	your aluminum cans, and then you get money for your aluminum cans. //B: But they don't give you for the other. //A: No. But now they're going to start giving us money for the other ones, too. Before, they didn't. But I know they're going [talking] {in background} to start now. //B: Uh-huh. Well they're certain places, you know, where down there you can	ditransitive	us	money	P	N	1	myself-worth	myself	0.3100408	9	worth	0.121118724	myself	worth
dat-2652	A: He again had a, had a stroke, and he was partially paralyzed. //B: Uh-huh. //A: But he was young enough where they gave him therapy, and he was beginning to move up, but he could talk [laughter] and tell us things, Oh, you want to see what they're doing here, and do you want to see this, but don't --	ditransitive	him	therapy	P	N	1	myself-transfusion	myself	0.2585908	7	transfusion	0.5303913	myself	transfusion
dat-2653	A: [Laughter]. //B: Well, the dogs don't use litter. But kitty litter is excellent for, uh, getting under the wheels of cars and what have you and giving you traction. //	ditransitive	you	traction	P	N	10	anything-thrust	anything	0.28544724	0	thrust	0.19277342	anything	thrust
dat-2654	A: Well, that's the idea. They figure that, //B: Yeah. //A: if they give you card, //B: Uh-huh. //A: at no charge for a whole year that you will use it and,	ditransitive	you	card	P	N	10	anything-discount	anything	0.28544724	10	discount	0.2939797	anything	discount
dat-2655	B: And, and, and it was posted, you know, above her bed not to give her penicillin and, but, //A: # And they gave it to her anyway. # //B: # but, but they gave it to her # anyway and jus-, she just about died. //A: We had, my grandfather had Alz-, Alzheimer's disease, //B: # Um. #	ditransitive	her	penicillin	P	N	1	myself-transfusion	myself	0.3515005	7	transfusion	0.6259807	myself	transfusion
dat-2656	B: it's not exciting at all it doesn't, //A: Yeah. //B: it doesn't give you relaxation, you can't dance to it, you can't do anything to it [laughter]. //A: Right. But,	ditransitive	you	relaxation	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.46754003	anything	transfusion
dat-2657	Turkey and, they sort of just meander around but they, they hold true that Northern Iraq is theirs. And, uh, I don't know, it, it was certainly foreseeable right after the war, I mean it should have been obviously, if it was to me it should have been obviously to the people in Washington there should have been some plans to try to give them some aid, I mean we helped the Afghanistan's, there's know reason why we shouldn't help the Kurds, it didn't have to involve troops, could have just given them, uh, you know, supplies. //A: Yeah. But he's just shooting them and they just killing them off.	ditransitive	them	supplies	P	N	1	myself-NA	myself	0.32372108	NA	NA	NA	myself	NA
dat-2658	B: Yeah, I mean don't get me wrong. For something, something that was major I, I wouldn't have any problems with them. It's the daily, uh, go in with the, with the flu or something like that. And, and, the, the treatment is terrible, I mean first you wait for hours and hours and hours and then the guy says you have a temperature, well I knew that. I am going to give you Sudafed. You know I've been taking Sudafed for two weeks, it doesn't do any good.	ditransitive	you	sudafed	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.0595956	anything	transfusion
dat-2659	B: But, I mean this is one area where I'd like to see Social Security or the government step in and take people over a certain age or with handicaps or something. And take their Social Security away from them, I mean give them, you know, money at a certain point. And putting them in homes to where they can get something fed back to them. In other words, people talk to and become still human beings.	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
dat-2660	B: That's quite a lot of money, isn't it. //A: Yeah, really is. //B: And it gives other, I imagine, other, uh, potential crime people, uh, ideas, too. //A: But I've seen, they've stepped up security quite a bit.	ditransitive	people	ideas	N	N	8	people-NA	people	0.36882615	NA	NA	NA	people	NA
dat-2662	: Uh-huh. Because you know, they don't give you a whole bunch of them pills. //B: Yeah. //A: Because they gave my husband some when his mother passed, but that was for, like, to calm him down. //B: Right. //A: You know, but see, now they're gone. //	ditransitive	husband	some	N	I	5	husband-worth	husband	0.23784463	9	worth	-0.034146417	husband	other
dat-2663	A: You know. //B: I don't know how you do that. //A: I guess if you gave the, gave them jobs, that's another problem with the United States, there's no jobs any more. //B: Yeah. //	ditransitive	them	job	P	N	1	myself-access	myself	0.32372108	1	access	-0.08507059	myself	other
dat-2664	B: #Yeah.# //A: #still# understand what was going on. //B: Yeah, that, television, it gives you everything. //A: Uh-huh. //B: So, it's ber-, basically mindless. I mean, all your, y-, the only really	ditransitive	you	everything	P	I	10	anything-one	anything	0.28544724	14	one	0.6205806	anything	one
dat-2665	A:  Of course, I'm not a carpenter or anything like that. They could probably come in and say, gee, this is not straight and this is under something but, //B:  But I mean it doesn't give you trouble? //A:  No. //B:  Uh-huh.	ditransitive	you	trouble	P	N	10	anything-activity	anything	0.28544724	13	activity	0.2264539	anything	activity
dat-2666	A: But, uh, you know, they just [noise] folded it up and, uh, uh, told him to, they took the top management and gave them jobs -- //B: Uh-huh. //A: -- with the, with the corporate, uh, at the corporate front office and	ditransitive	them	job	P	N	1	myself-access	myself	0.32372108	1	access	-0.08507059	myself	other
dat-2667	A: It, it astound, you realize that the Kuwaiti government gives every Kuwaiti man, woman, and child money. //B: Uh, no. I wasn't, I didn't, wasn't aware of that, no.	ditransitive	man	money	N	N	14	man-worth	man	0.50134844	9	worth	0.121118724	man	worth
dat-2668	B: -- then they really need water. //A: [Laughter]. //B: I mean, you know, I've used up all my water give me some, that type of thing, //A: Yeah.	ditransitive	me	some	P	I	1	myself-worth	myself	0.13377228	9	worth	-0.034146417	myself	other
dat-2669	A: Well, such as things for learning gives the child stimulation I think is important. //B: Right.	ditransitive	child	stimulation	N	N	3	kid-transfusion	kid	0.30523363	7	transfusion	0.5169689	kid	transfusion
dat-2670	B: So, but, you know, you know then you, you figured on down the line it did give people jobs. I use cloth diapers for a lot of stuff just besides, you know, if my kids have got a cold, you know, I put them in bed with cloth diapers [laughter] you know,	ditransitive	people	job	N	N	8	people-access	people	0.36882615	1	access	-0.08507059	people	other
dat-2671	B: Oh, yes, I agree [laughter]. //A: If they are trying on purpose to scare me then I don't want to go [noise]. //B: I'm certainly not going to give them money to do it [laughter]. //A: Absolutely not. Oh, I'll tell you one, though, that I heard such good things about. Um, [lipsmack] oh, let's see, what was it? Um, it's a David Lynch movie and it's about Sailor and Lula, they're the two charac-, main	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
dat-2672	B: You still can see well. And, uh, we usually sit there unless somebody gives [laughter] us tickets, you know, box seats -- //A: Uh-huh. //B: -- or something, then we usually sit out there.	ditransitive	us	ticket	P	N	1	myself-drainage	myself	0.3100408	2	drainage	0.059752513	myself	drainage
dat-2673	B: Exactly -- //A: -- I'd feel better. //B: -- it does, it gives you energy. //A: But my dragginess is my excuse for not exercising. //B: Yeah.	ditransitive	you	energy	P	N	10	anything-access	anything	0.28544724	1	access	0.37880343	anything	access
dat-2674	B: Right. //A: if you pay for everything by cash, uh, there is a lot of things that a lot of people who will not give you credit when you need something like a house or, //B: That's true, yeah.	ditransitive	you	credit	P	N	10	anything-discount	anything	0.28544724	10	discount	0.4551688	anything	discount
dat-2675	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	ditransitive	me	seventies	P	N	1	myself-NA	myself	0.13377228	NA	NA	NA	myself	NA
dat-2676	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	ditransitive	me	eighties	P	N	1	myself-NA	myself	0.13377228	NA	NA	NA	myself	NA
dat-2677	A: Well, yeah, it, it, it, it can be cost prohibitive real quick, you know, I, I want to be able to at least I want to pay my, pay the tuition, you know, give her transportation if it's necessary, //B: # Uh-huh. #	ditransitive	her	transportation	P	N	1	myself-access	myself	0.3515005	1	access	0.439282	myself	access
dat-2678	B: He gives me kisses, he talks now -- //A: [Laughter] That's neat. //B: -- and it's just hysterical. I'm the only one that pays attention to him.	ditransitive	me	kiss	P	N	1	myself-list	myself	0.13377228	12	list	0.12021314	myself	list
dat-2679	towards more technology and getting the kids computer literate earlier. You know, my kindergartners were on the, were on the computers, and I think that with the way the world is today that's got to be done. And I think that, uh, the schools now are starting to teach thinking strategies more than just giving them, you know, skills. You know, //A: #Right.# //B: #you don't# just add one plus one you figure out why you're adding it and	ditransitive	them	skills	P	N	1	myself-NA	myself	0.32372108	NA	NA	NA	myself	NA
dat-2680	B: No, you just put it in the one bin and, and I guess they do the sorting. But, um, they'll do the aluminum cans too but we don't give them those [laughter]. //A: Right. #Right.#	ditransitive	them	those	P	D	1	myself-list	myself	0.32372108	12	list	-0.14572191	myself	other
dat-2681	B: -- a neighbor of ours had done this, and it looked, uh, looked nice, so, we figured we'd try it ourselves. //A: So the neighbor was able to give you guidance. //B: Um, a little bit. She didn't tell us, she did say it was going to be hard work [laughter].	ditransitive	you	guidance	P	N	10	anything-activity	anything	0.28544724	13	activity	0.14714819	anything	activity
dat-2682	B: Something to belong to, give them identity, give them importance -- //A: Yeah. //B: -- give them a certain security.	ditransitive	them	importance	P	N	1	myself-thrust	myself	0.32372108	0	thrust	-0.01730057	myself	other
dat-2683	A:  Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs -- //B:  Yeah. //A:  -- but I think it also cost, um, quite a bit as far as because	ditransitive	people	job	N	N	8	people-access	people	0.36882615	1	access	-0.08507059	people	other
dat-2684	B: It is. //A: Yeah, it's, (( )) that's, I thought about it not too long ago, that, uh, [breathing] I had seen an issue and I thought gosh, I ought to give my parents that for Christmas, but I, of course, now it's Christmas, I haven't done it, so maybe next year. //B: Yeah [laughter].	ditransitive	parents	that	N	D	NA	NA-one	NA	NA	14	one	0.63361347	NA	one
dat-2685	B: That's a pretty good way to do it, //A: -- anything on his American Express is his and it's his expense. Now, he gave me one -- //B: Uh-huh.	ditransitive	me	one	P	I	1	myself-one	myself	0.13377228	14	one	0.6461798	myself	one
dat-2686	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	ditransitive	you	aids	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.58784884	anything	transfusion
dat-2687	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	ditransitive	you	aids	P	N	10	anything-transfusion	anything	0.28544724	7	transfusion	0.58784884	anything	transfusion
dat-2688	B: Uh-huh. That's kind of scary. I, I wish there was some way that we could change the news media so they didn't feature these way out stories. Maybe it wouldn't give other people ideas. //A: Well, uh, I know one thin-, I, I think Texas has the death penalty, right? //B: Yes, we do.	ditransitive	people	ideas	N	N	8	people-NA	people	0.36882615	NA	NA	NA	people	NA
dat-2689	A: I've tried to do is get this outfit to -- //B: Uh, he's, uh, up in, //A: -- give me one [laughter]. //B: Huh?	ditransitive	me	one	P	I	1	myself-one	myself	0.13377228	14	one	0.6461798	myself	one
dat-2690	A: Yeah, and, uh, and then the people that have it, it does seem that there are, are some drugs that are there that, you know, they keep holding back. If you, if I were dying, I'm not sure I would care. //B: I, I, give me cyanide. I mean, [laughter] #is it (( )),# //A: #Yeah, right.# [laughter] I'll take anything -- //B: Uh-huh.	ditransitive	me	cyanide	P	N	1	myself-drainage	myself	0.13377228	2	drainage	0.36908904	myself	drainage
dat-2691	A: -- and I think that, uh, she was trying to, uh, give me something to kind of make me get a message of some kind [laughter].	ditransitive	me	something	P	I	1	myself-one	myself	0.13377228	14	one	0.6481437	myself	one
dat-2693	A:  -- and we went down there and these kids wanted anything that was made that was American. Lee jeans, your coats, your shoes, anything that you brought with you and they'd give you things because -- //B:  Uh-huh.	ditransitive	you	things	P	N	10	anything-NA	anything	0.28544724	NA	NA	NA	anything	NA
dat-2694	B:  Yeah, give -- //A:  Because you couldn't pick up #on it if you just# ... //B:  -- #give me comedies.# I'll, I'll watch those. //A:  Yeah {faint}. //B:  I like those.	ditransitive	me	comedies	P	N	1	myself-NA	myself	0.13377228	NA	NA	NA	myself	NA
dat-2695	B: -- and I thoroughly enjoyed that, and now it's like, give me computer -- //A: Huh. //B: -- and consequently I am the person that everybody comes to, at work.	ditransitive	me	computer	P	N	1	myself-list	myself	0.13377228	12	list	0.2937947	myself	list
dat-2696	A: [Laughter] Oh, boy. //B: It's fun, I like that, and plus there's a guy at work that he and I trade different games, like he's like, Well, what do you have, and I'll give you this -- //A: Uh-huh.	ditransitive	you	this	P	D	10	anything-broadcast	anything	0.28544724	4	broadcast	0.23122534	anything	broadcast
dat-2697	the prostate and there's only one test that just recently got developed, uh, a blood in-, antigen, uh, antibody test for the antigen in the blood and that's fairly recent. And yet men have been dying from prostate cancer for years. //B:  They've not really given it attention either, yeah.	ditransitive	it	attention	P	N	10	anything-thrust	anything	0.5251231	0	thrust	0.26181197	anything	thrust
dat-2698	A: -- you know, subtitles. //B: I mean, for some people, that's just, you know, that's out of the question, you know. You give it subtitles, they won't watch,	ditransitive	it	subtitle	P	N	10	anything-broadcast	anything	0.5251231	4	broadcast	0.21295224	anything	broadcast
dat-2699	B: -- uh, you know, I think they, they ought to make more of an emphasis on, on convenience as opposed to, uh, to, uh, you know, trying to give people money for it. //A: Yeah, I know. I know if they did something like that at work, if they separated paper. Where I work they don't even separate the paper.	ditransitive	people	money	N	N	8	people-worth	people	0.36882615	9	worth	0.121118724	people	worth
dat-2700	A: And they're covering my, they're paying me, uh, uh, a little bit a month to go to school. And then they're, they're paying, they're also paying my ins-, uh, giving me insurance, full insurance. #Uh,# //B: #Uh-huh.# //A: so, #that makes, yeah,#	ditransitive	me	insurance	P	N	1	myself-discount	myself	0.13377228	10	discount	0.37405282	myself	discount
dat-2701	B: #as opposed# to being terribly sympathetic to the government. Although the yo-, you've got to give them credit. They do a great job of showing both sides of the story, and, uh, they aren't afraid to poke fun at themselves either.	ditransitive	them	credit	P	N	1	myself-discount	myself	0.32372108	10	discount	0.4551688	myself	discount
dat-2702	B: #Uh-huh.# //A: -- keep giving them chances. //B: Yeah. //@@A: Uh, let's see, so the other question that they wanted was whether the	ditransitive	them	chance	P	N	1	myself-experience	myself	0.32372108	6	experience	0.13142924	myself	experience
dat-2703	A: Uh, I do have my radio going most of the day though, so about every hour it breaks in and gives me news too, you know. //B: Okay. #Do you# --	ditransitive	me	news	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.48894092	myself	broadcast
dat-2704	A: Yeah. //B: I'll give it that. It is fun to play. #If you don't value your# -- //A: #You've played it then?# //B: -- very much. But, you know, I don't think rugby will ever be professional	ditransitive	it	that	P	D	10	anything-one	anything	0.5251231	14	one	0.63361347	anything	one
dat-2705	B: Because they just give you ton, now I've got a big basket full in the refrigerator. //A: That's right, that's right. Well, now I've gotten to where I say, don't put any of that in [laughter]. Cause it just leaves me with having to dispose	ditransitive	you	ton	P	N	10	anything-drainage	anything	0.28544724	2	drainage	0.42525005	anything	drainage
dat-2706	A:  We have a Golden Retriever. //B:  Oh, we, that's what we had. //A:  Oh, really. //B:  Yeah, we loved them.  //A:  Yeah, she's a mess #[laughter].# //B:  #Yeah,# they, uh, we had, as I say, two, and then, uh, gave, uh, the kids' grandparents one, and they got another one, and so, I mean, there've been four sort of in the family around.	ditransitive	grandparents	one	N	I	NA	NA-one	NA	NA	14	one	0.6461798	NA	one
dat-2707	B: Yeah, here in Georgia when they have the jury involved in sentencing, like in a capital case, the prosecution is not allowed to say that if you, if you give them life, he'll be out in seven years. That's against the rules.	ditransitive	them	life	P	N	1	myself-experience	myself	0.32372108	6	experience	0.42473623	myself	experience
dat-2708	B: But, uh, I don't know. It's, it's an interesting issue. There's, like you say, in Texas there's been quite a few and, and in Florida in the last few years, I think there's been a lot. I can't, I, you know, I can't give you figures but, uh, //	ditransitive	you	figures	P	N	10	anything-NA	anything	0.28544724	NA	NA	NA	anything	NA
dat-2709	A: But, they say [laughter], uh, they always forget you. [laughter] Every year they mess it up and forget to give me credit, uh, or shall I say five out of the last six years. [inhaling] So I called in and, uh, at first I got kind of upset [laughter] but now,	ditransitive	me	credit	P	N	1	myself-discount	myself	0.13377228	10	discount	0.4551688	myself	discount
dat-2710	B: A lot of academic jobs give you that, but on the other hand, state retirement, if you work for a state university can be very secure in taking good care of you. //A: Really.	ditransitive	you	that	P	D	10	anything-one	anything	0.28544724	14	one	0.63361347	anything	one
dat-2711	A: And so I have a lot of job experience and my instructor thrives on that because he can just tell me what he wants and he can give me access and tell me what to do and just turn me loose --	ditransitive	me	access	P	N	1	myself-access	myself	0.13377228	1	access	0.40235674	myself	access
dat-2712	B: Yeah. And so, idiots as we were, neither one of us knew much about cars, we, you know, they told us we just had to have one and we bought one. We didn't no more need no new engine, give me break, [laughter] you know. //A: Huh.	ditransitive	me	break	P	N	1	myself-broadcast	myself	0.13377228	4	broadcast	0.46965617	myself	broadcast
dat-2713	A: Uh-huh. //B: -- and that's because they will give us containers, you know, certain colors of bins and stuff to put cans and papers and so on in. That all makes sense, but if you don't want to recycle, you can say, I don't want to recycle and save a dollar and a half a month.	ditransitive	us	containers	P	N	1	myself-NA	myself	0.3100408	NA	NA	NA	myself	NA
dat-2714	B: #I# think that that's right. I think, I think a lot of that right there. And, and I think that that's where you come into the private schools. The private schools have more power, you know. I mean, because in public schools, these people really don't have any authority to do anything. Or to really punish these kids in any way. I mean, they can't even hardly give them detention, you know, without #having to call# -- //A: #Well, maybe they'll make them,#	ditransitive	them	detention	P	N	1	myself-jurisdiction	myself	0.32372108	5	jurisdiction	0.636768	myself	jurisdiction
dat-2715	where I work, I work for a defense contractor. And there's a big push on for recycling, uh, paper materials, you know, computer output paper and also to decrease the amount of, uh, Styrofoam usage because of the, uh, [whistling] the process involved in Styrofoam and, and the whole eco issue and that. And, and they're very proactive and, uh, matter of fact, they give you discounts if you use, [istling] uh, china wear rather than, uh, Styrofoam stuff, so. So, i-, i-, it's incentives like that that get people people more conscious of it. I think that's, that's what they need to do. Be more ((proactive)) like that.	ditransitive	you	discount	P	N	10	anything-discount	anything	0.28544724	10	discount	0.49961916	anything	discount
dat-2716	it seemed like the nursing home didn't want to deal wi-, her anymore -- //A: Sure. //B: -- and so they gave her drugs to keep her #asleep.#	ditransitive	her	drug	P	N	1	myself-transfusion	myself	0.3515005	7	transfusion	0.62639105	myself	transfusion
dat-2717	to pick him up. And I kept thinking that she was going to get picked up, she was going to pick him up because she only lives in like two blocks away from the school. I was trying to get my husband to come and pick him up and all that kind of stuff. And he had a hundred and four fever. They couldn't, uh, give him anything because they're not allowed to at school and #everything.#	ditransitive	him	anything	P	I	1	myself-one	myself	0.2585908	14	one	0.64199424	myself	one
dat-2718	A: You have different telephone numbers that you can dial, and then you dial in an access code and it will, depending on what topic you called in to hear about whether it was the news or the weather or a soap opera update, it will give you, um, updated information. So, that can give you, you know, current news updates, current weather updates, things like that and it's, it's offered through the local phone company free of charge. So, that's, //B: Huh.	ditransitive	you	information	P	N	10	anything-activity	anything	0.28544724	13	activity	0.20973288	anything	activity
dat-2719	A: W-, well anyway I guess we're supposed to discuss this, uh, subject, what do you think? [Laughter]. //B: Well, I never gave it any thought myself [laughter]. //A: [Laughter]. //B: I was hoping you could tell me what you thought.	ditransitive	it	thought	P	N	10	anything-experience	anything	0.5251231	6	experience	0.44951913	anything	experience
dat-2720	B: Yeah, it has. //A: It sure has and I, I'd like to try this thing every once in a while. I thought I'd give it a try this afternoon being so rainy I'm locked in up here anyway so, //B: [Laughter].	ditransitive	it	try	P	N	10	anything-one	anything	0.5251231	14	one	0.36916998	anything	one
