Token.ID	Variety	Corpus	Speaker	Speaker.sex	Speaker.YOB	Context	Inclusion	Inclusion.comments	Semantics	Response.variable	Verb.form	Verb.particle	Recipient	Recipient.head	Recipient.type	Recipient.animacy	Recipient.definiteness	Recipient.length	Recipient.coordinated	Recipient.quantified.pronoun	Recipient.contains.contraction	Recipient.contains.acronym	Recipient.contains.multiword.number	Recipient.contains.potentially.relevant.like	Theme	Theme.head	Theme.type	Theme.animacy	Theme.definiteness	Theme.length	Theme.coordinated	Theme.quantified.pronoun	Theme.rate.expression	Theme.contains.contraction	Theme.contains.acronym	Theme.contains.multiword.number	Theme.contains.potentially.relevant.like	Recipient.lemma	Recipient.inlist	Theme.lemma	Theme.inlist
dat-2636	US	SWBD	1083	F	1962	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	y	NA	T	D	give	NA	them	them	P	L	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	money	TRUE
dat-2639	US	SWBD	1086	F	1965	A: Do you have the oil changed a lot and everything? //B: Yeah. Luckily my husband is real good at that, and he knows how, and he changes it regularly and gives it tune ups, you know, replaces the spark plugs and, uh, //A: See, I don't have a husband, so I have to have it done, you know.	y	NA	A	D	gives	NA	it	it	P	I	Definite	1	0	0	0	0	0	0	tune ups	tune ups	N	I	Indefinite	2	0	0	0	0	0	0	0	it	TRUE	NA	FALSE
dat-2640	US	SWBD	1090	M	1964	B: Uh-huh. //A: -- yeah, and I've done some of those. Yeah, I like, I like things that are, there's a few of the ones I can take of his. I like it when they actually are giving you information in a novel format, I guess would be th-, //B: Try Colesmith, try and find his, uh, SPANISH BIT SAGA, it's called THE TRAIL OF THE SPANISH BIT is the first,	y	NA	C	D	giving	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	information	information	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	information	TRUE
dat-2641	US	SWBD	1093	F	1960	B: Oh well, can you do it (( ))? //A: Yeah, [laughter] isn't that funny. I guess I do have one thing. A friend of mine gave me a clock kit -- //B: Ooh. //A: -- and, I, I needlepointed the face, and I, uh, kept that because she gave me that. So, //B: That, that would be definitely something you'd want to keep.	y	NA	T	D	gave	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	that	that	D	I	Definite	1	0	0	0	0	0	0	0	me	TRUE	that	TRUE
dat-2642	US	SWBD	1094	F	1960	B: There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and no-, I'm not saying just give them money but, I mean, because they have to be taught to be,	y	NA	T	D	give	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	money	TRUE
dat-2643	US	SWBD	1094	F	1960	B: I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, [breathing], what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, ((I mean)), because if they're alcoholics they'll just go out and spend,	y	NA	T	D	give	NA	these people	people	N	A	Definite	2	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	people	TRUE	money	TRUE
dat-2644	US	SWBD	1096	F	1963	B: # ((Sure)). # //A: # and # so, you know, we'll give him fifteen which will teach him a lesson but it's not just, you know, horrible, //B: # ((Yeah)). #	y	NA	T	D	give	NA	him	him	P	A	Definite	1	0	0	0	0	0	0	fifteen	fifteen	N	I	Indefinite	1	0	0	0	0	0	0	0	him	TRUE	fifteen	TRUE
dat-2645	US	SWBD	1104	M	1938	A: #you# wouldn't have to have a keyboard, //B: #[Throat_clearing].# //A: #you'll# be able to just give it commands and I'm sure they have some of that now, and not, not, in computers but a lot of potential, of course for handicapped people,	y	NA	C	D	give	NA	it	it	P	I	Definite	1	0	0	0	0	0	0	commands	commands	N	I	Indefinite	1	0	0	0	0	0	0	0	it	TRUE	command	TRUE
dat-2646	US	SWBD	1104	M	1938	A: # I # don't understand why we're, I understand that we support Israel and all the other countries but why do we have to give them cash rather than just selling them military things at a discount or something. I don't get the id-, the idea,	y	NA	T	D	give	NA	them	them	P	L	Definite	1	0	0	0	0	0	0	cash	cash	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	cash	TRUE
dat-2647	US	SWBD	1106	F	1964	A: I wouldn't turn you down either. //B: Right. //A: I'll give you one [laughter]. //B: Yeah. //A: Huh. No, I haven't attempted that. I'm satisfied with what we have right	y	NA	T	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	one	one	I	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	one	TRUE
dat-2648	US	SWBD	1112	F	1956	B: Yeah, yeah. Yeah, I, I agree with you. They like to get out there and, but this wasn't so fun this last time for Nathan to, to get out there and he didn't realize he was touching poison ivy and it got all into his eye and it was really swollen and, uh, so they had to give him shots and everything, so. [breathing], oh, well, maybe next time he'll stay away from those particular [laughter], //A: [Laughter] Yeah, yes.	y	NA	A	D	give	NA	him	him	P	A	Definite	1	0	0	0	0	0	0	shots	shots	N	I	Indefinite	1	0	0	0	0	0	0	0	him	TRUE	shots	TRUE
dat-2649	US	SWBD	1115	M	1958	A: Yeah, well there's, there's another point to that too. They said the, that um, that he was horrible at, uh, at batting with, with men on base. Now having somebody get up and hit a solo home run does you, you know, gives you run, obviously. //B: Yes.	y	NA	A	D	gives	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	run	run	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	run	TRUE
dat-2650	US	SWBD	1116	M	1955	B: that is good. //A: Well, it is enjoyable, I'll give you that, it's funny. //B: And, uh, I don't get to watch T V that often, or sit back and enjoy it. I have a nine month old. So that occupies a lot of the time [laughter].	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	that	that	D	I	Definite	1	0	0	0	0	0	0	0	you	TRUE	that	TRUE
dat-2651	US	SWBD	1120	F	1969	your aluminum cans, and then you get money for your aluminum cans. //B: But they don't give you for the other. //A: No. But now they're going to start giving us money for the other ones, too. Before, they didn't. But I know they're going [talking] {in background} to start now. //B: Uh-huh. Well they're certain places, you know, where down there you can	y	NA	T	D	giving	NA	us	us	P	A	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	us	TRUE	money	TRUE
dat-2652	US	SWBD	1121	M	1937	A: He again had a, had a stroke, and he was partially paralyzed. //B: Uh-huh. //A: But he was young enough where they gave him therapy, and he was beginning to move up, but he could talk [laughter] and tell us things, Oh, you want to see what they're doing here, and do you want to see this, but don't --	y	NA	A	D	gave	NA	him	him	P	A	Definite	1	0	0	0	0	0	0	therapy	therapy	N	I	Indefinite	1	0	0	0	0	0	0	0	him	TRUE	therapy	TRUE
dat-2653	US	SWBD	1123	F	1956	A: [Laughter]. //B: Well, the dogs don't use litter. But kitty litter is excellent for, uh, getting under the wheels of cars and what have you and giving you traction. //	y	NA	A	D	giving	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	traction	traction	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	traction	TRUE
dat-2654	US	SWBD	1123	F	1956	A: Well, that's the idea. They figure that, //B: Yeah. //A: if they give you card, //B: Uh-huh. //A: at no charge for a whole year that you will use it and,	y	NA	T	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	card	card	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	card	TRUE
dat-2655	US	SWBD	1126	F	1963	B: And, and, and it was posted, you know, above her bed not to give her penicillin and, but, //A: # And they gave it to her anyway. # //B: # but, but they gave it to her # anyway and jus-, she just about died. //A: We had, my grandfather had Alz-, Alzheimer's disease, //B: # Um. #	y	NA	T	D	give	NA	her	her	P	A	Definite	1	0	0	0	0	0	0	penicillin	penicillin	N	I	Indefinite	1	0	0	0	0	0	0	0	her	TRUE	penicillin	TRUE
dat-2656	US	SWBD	1126	F	1963	B: it's not exciting at all it doesn't, //A: Yeah. //B: it doesn't give you relaxation, you can't dance to it, you can't do anything to it [laughter]. //A: Right. But,	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	relaxation	relaxation	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	relaxation	TRUE
dat-2657	US	SWBD	1151	M	1953	Turkey and, they sort of just meander around but they, they hold true that Northern Iraq is theirs. And, uh, I don't know, it, it was certainly foreseeable right after the war, I mean it should have been obviously, if it was to me it should have been obviously to the people in Washington there should have been some plans to try to give them some aid, I mean we helped the Afghanistan's, there's know reason why we shouldn't help the Kurds, it didn't have to involve troops, could have just given them, uh, you know, supplies. //A: Yeah. But he's just shooting them and they just killing them off.	y	NA	T	D	give	NA	them	them	P	L	Definite	1	0	0	0	0	0	0	supplies	supplies	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	supplies	TRUE
dat-2658	US	SWBD	1151	M	1953	B: Yeah, I mean don't get me wrong. For something, something that was major I, I wouldn't have any problems with them. It's the daily, uh, go in with the, with the flu or something like that. And, and, the, the treatment is terrible, I mean first you wait for hours and hours and hours and then the guy says you have a temperature, well I knew that. I am going to give you Sudafed. You know I've been taking Sudafed for two weeks, it doesn't do any good.	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	Sudafed	Sudafed	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	sudafed	TRUE
dat-2659	US	SWBD	1155	F	1941	B: But, I mean this is one area where I'd like to see Social Security or the government step in and take people over a certain age or with handicaps or something. And take their Social Security away from them, I mean give them, you know, money at a certain point. And putting them in homes to where they can get something fed back to them. In other words, people talk to and become still human beings.	y	NA	A	D	give	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	money	TRUE
dat-2660	US	SWBD	1157	F	1944	B: That's quite a lot of money, isn't it. //A: Yeah, really is. //B: And it gives other, I imagine, other, uh, potential crime people, uh, ideas, too. //A: But I've seen, they've stepped up security quite a bit.	y	NA	A	D	gives	NA	other potential crime people	people	N	A	Indefinite	4	0	0	0	0	0	0	ideas	ideas	N	I	Indefinite	1	0	0	0	0	0	0	0	people	TRUE	ideas	TRUE
dat-2661	US	SWBD	1171	M	1956	A: Well, uh, he, uh, boy, he comes up there and gives us all kinds of grief. They, they say it's what makes him happy is to give us D A D -ers grief, so I can believe it but,	y	NA	A	D	give	NA	us DADers	DADers	N	A	Definite	2	0	0	0	1	0	0	grief	grief	N	I	Indefinite	1	0	0	0	0	0	0	0	NA	FALSE	grief	TRUE
dat-2662	US	SWBD	1175	F	1956	: Uh-huh. Because you know, they don't give you a whole bunch of them pills. //B: Yeah. //A: Because they gave my husband some when his mother passed, but that was for, like, to calm him down. //B: Right. //A: You know, but see, now they're gone. //	y	NA	T	D	gave	NA	my husband	husband	N	A	Definite	2	0	0	0	0	0	0	some	some	I	I	Indefinite	1	0	0	0	0	0	0	0	husband	TRUE	some	TRUE
dat-2663	US	SWBD	1175	F	1956	A: You know. //B: I don't know how you do that. //A: I guess if you gave the, gave them jobs, that's another problem with the United States, there's no jobs any more. //B: Yeah. //	y	NA	A	D	gave	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	jobs	jobs	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	job	TRUE
dat-2664	US	SWBD	1179	F	1959	B: #Yeah.# //A: #still# understand what was going on. //B: Yeah, that, television, it gives you everything. //A: Uh-huh. //B: So, it's ber-, basically mindless. I mean, all your, y-, the only really	y	NA	A	D	gives	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	everything	everything	I	I	Definite	1	0	0	0	0	0	0	0	you	TRUE	everything	TRUE
dat-2665	US	SWBD	1190	M	1941	A:  Of course, I'm not a carpenter or anything like that. They could probably come in and say, gee, this is not straight and this is under something but, //B:  But I mean it doesn't give you trouble? //A:  No. //B:  Uh-huh.	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	trouble	trouble	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	trouble	TRUE
dat-2666	US	SWBD	1195	M	1947	A: But, uh, you know, they just [noise] folded it up and, uh, uh, told him to, they took the top management and gave them jobs -- //B: Uh-huh. //A: -- with the, with the corporate, uh, at the corporate front office and	y	NA	A	D	gave	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	jobs	jobs	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	job	TRUE
dat-2667	US	SWBD	1209	M	1954	A: It, it astound, you realize that the Kuwaiti government gives every Kuwaiti man, woman, and child money. //B: Uh, no. I wasn't, I didn't, wasn't aware of that, no.	y	NA	A	D	gives	NA	every Kuwaiti man woman and child	man	N	A	Definite	6	1	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	man	TRUE	money	TRUE
dat-2668	US	SWBD	1224	F	1959	B: -- then they really need water. //A: [Laughter]. //B: I mean, you know, I've used up all my water give me some, that type of thing, //A: Yeah.	y	NA	T	D	give	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	some	some	I	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	some	TRUE
dat-2669	US	SWBD	1235	F	1957	A: Well, such as things for learning gives the child stimulation I think is important. //B: Right.	y	NA	A	D	gives	NA	the child	child	N	A	Definite	2	0	0	0	0	0	0	stimulation	stimulation	N	I	Indefinite	1	0	0	0	0	0	0	0	child	TRUE	stimulation	TRUE
dat-2670	US	SWBD	1249	F	1954	B: So, but, you know, you know then you, you figured on down the line it did give people jobs. I use cloth diapers for a lot of stuff just besides, you know, if my kids have got a cold, you know, I put them in bed with cloth diapers [laughter] you know,	y	NA	A	D	give	NA	people	people	N	A	Indefinite	1	0	0	0	0	0	0	jobs	jobs	N	I	Indefinite	1	0	0	0	0	0	0	0	people	TRUE	job	TRUE
dat-2671	US	SWBD	1249	F	1954	B: Oh, yes, I agree [laughter]. //A: If they are trying on purpose to scare me then I don't want to go [noise]. //B: I'm certainly not going to give them money to do it [laughter]. //A: Absolutely not. Oh, I'll tell you one, though, that I heard such good things about. Um, [lipsmack] oh, let's see, what was it? Um, it's a David Lynch movie and it's about Sailor and Lula, they're the two charac-, main	y	NA	T	D	give	NA	them	them	P	I	Definite	1	0	0	0	0	0	0	money	money	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	money	TRUE
dat-2672	US	SWBD	1251	F	1945	B: You still can see well. And, uh, we usually sit there unless somebody gives [laughter] us tickets, you know, box seats -- //A: Uh-huh. //B: -- or something, then we usually sit out there.	y	NA	T	D	gives	NA	us	us	P	A	Definite	1	0	0	0	0	0	0	tickets	tickets	N	I	Indefinite	1	0	0	0	0	0	0	0	us	TRUE	ticket	TRUE
dat-2673	US	SWBD	1251	F	1945	B: Exactly -- //A: -- I'd feel better. //B: -- it does, it gives you energy. //A: But my dragginess is my excuse for not exercising. //B: Yeah.	y	NA	A	D	gives	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	energy	energy	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	energy	TRUE
dat-2674	US	SWBD	1252	F	1933	B: Right. //A: if you pay for everything by cash, uh, there is a lot of things that a lot of people who will not give you credit when you need something like a house or, //B: That's true, yeah.	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	credit	credit	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	credit	TRUE
dat-2675	US	SWBD	1253	F	1958	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	y	NA	A	D	give	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	seventies	seventies	N	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	seventies	TRUE
dat-2676	US	SWBD	1253	F	1958	B: Oh, I don't like nineties. //A: Yeah, yeah. //B: You can give me seventies -- //A: Yeah. //B: -- and you can give me eighties -- //A: Yeah, keep it there [laughter]. //B: -- and I'm okay. But when it gets too hot, then it's, that,	y	NA	A	D	give	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	eighties	eighties	N	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	eighties	TRUE
dat-2677	US	SWBD	1255	M	1953	A: Well, yeah, it, it, it, it can be cost prohibitive real quick, you know, I, I want to be able to at least I want to pay my, pay the tuition, you know, give her transportation if it's necessary, //B: # Uh-huh. #	y	NA	A	D	give	NA	her	her	P	A	Definite	1	0	0	0	0	0	0	transportation	transportation	N	I	Indefinite	1	0	0	0	0	0	0	0	her	TRUE	transportation	TRUE
dat-2678	US	SWBD	1313	F	1956	B: He gives me kisses, he talks now -- //A: [Laughter] That's neat. //B: -- and it's just hysterical. I'm the only one that pays attention to him.	y	NA	A	D	gives	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	kisses	kisses	N	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	kiss	TRUE
dat-2679	US	SWBD	1313	F	1956	towards more technology and getting the kids computer literate earlier. You know, my kindergartners were on the, were on the computers, and I think that with the way the world is today that's got to be done. And I think that, uh, the schools now are starting to teach thinking strategies more than just giving them, you know, skills. You know, //A: #Right.# //B: #you don't# just add one plus one you figure out why you're adding it and	y	NA	A	D	giving	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	skills	skills	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	skills	TRUE
dat-2680	US	SWBD	1320	F	1962	B: No, you just put it in the one bin and, and I guess they do the sorting. But, um, they'll do the aluminum cans too but we don't give them those [laughter]. //A: Right. #Right.#	y	NA	T	D	give	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	those	those	D	I	Definite	1	0	0	0	0	0	0	0	them	TRUE	those	TRUE
dat-2681	US	SWBD	1324	F	1954	B: -- a neighbor of ours had done this, and it looked, uh, looked nice, so, we figured we'd try it ourselves. //A: So the neighbor was able to give you guidance. //B: Um, a little bit. She didn't tell us, she did say it was going to be hard work [laughter].	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	guidance	guidance	N	I	Indefinite	1	0	0	0	0	0	0	0	you	TRUE	guidance	TRUE
dat-2682	US	SWBD	1344	F	1935	B: Something to belong to, give them identity, give them importance -- //A: Yeah. //B: -- give them a certain security.	y	NA	A	D	give	NA	them	them	P	A	Definite	1	0	0	0	0	0	0	importance	importance	N	I	Indefinite	1	0	0	0	0	0	0	0	them	TRUE	importance	TRUE
dat-2683	US	SWBD	1352	F	1959	A:  Exactly. And I don't think, uh, it's ended up being, I mean it gave people jobs -- //B:  Yeah. //A:  -- but I think it also cost, um, quite a bit as far as because	y	NA	A	D	gave	NA	people	people	N	A	Indefinite	1	0	0	0	0	0	0	jobs	jobs	N	I	Indefinite	1	0	0	0	0	0	0	0	people	TRUE	job	TRUE
dat-2684	US	SWBD	1359	M	1952	B: It is. //A: Yeah, it's, (( )) that's, I thought about it not too long ago, that, uh, [breathing] I had seen an issue and I thought gosh, I ought to give my parents that for Christmas, but I, of course, now it's Christmas, I haven't done it, so maybe next year. //B: Yeah [laughter].	y	NA	A	D	give	NA	my parents	parents	N	A	Definite	2	0	0	0	0	0	0	that	that	D	I	Definite	1	0	0	0	0	0	0	0	parents	TRUE	that	TRUE
dat-2685	US	SWBD	1362	F	1942	B: That's a pretty good way to do it, //A: -- anything on his American Express is his and it's his expense. Now, he gave me one -- //B: Uh-huh.	y	NA	T	D	gave	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	one	one	I	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	one	TRUE
dat-2686	US	SWBD	1362	F	1942	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	AIDS	AIDS	N	I	Indefinite	1	0	0	0	0	1	0	0	you	TRUE	aids	TRUE
dat-2687	US	SWBD	1362	F	1942	A:  And, I think one of the things we can do, as far as the government goes, is just to dispel some of the myths {pause}. You know, drinking from a water fountain will give you AIDS. //B:  Uh-huh. //A:  Using a restroom will give you AIDS.	y	NA	A	D	give	NA	you	you	P	A	Definite	1	0	0	0	0	0	0	AIDS	AIDS	N	I	Indefinite	1	0	0	0	0	1	0	0	you	TRUE	aids	TRUE
dat-2688	US	SWBD	1366	F	1945	B: Uh-huh. That's kind of scary. I, I wish there was some way that we could change the news media so they didn't feature these way out stories. Maybe it wouldn't give other people ideas. //A: Well, uh, I know one thin-, I, I think Texas has the death penalty, right? //B: Yes, we do.	y	NA	A	D	give	NA	other people	people	N	A	Indefinite	2	0	0	0	0	0	0	ideas	ideas	N	I	Indefinite	1	0	0	0	0	0	0	0	people	TRUE	ideas	TRUE
dat-2689	US	SWBD	1378	M	1940	A: I've tried to do is get this outfit to -- //B: Uh, he's, uh, up in, //A: -- give me one [laughter]. //B: Huh?	y	NA	T	D	give	NA	me	me	P	A	Definite	1	0	0	0	0	0	0	one	one	I	I	Indefinite	1	0	0	0	0	0	0	0	me	TRUE	one	TRUE
